schema,pp_serve_clip_v1
policy_hz,50.0000000000
frame,time_s,phase,event_mask,left_hip_pitch_joint,right_hip_pitch_joint,waist_yaw_joint,left_hip_roll_joint,right_hip_roll_joint,waist_roll_joint,left_hip_yaw_joint,right_hip_yaw_joint,waist_pitch_joint,left_knee_joint,right_knee_joint,head_yaw_joint,left_shoulder_pitch_joint,right_shoulder_pitch_joint,left_ankle_pitch_joint,right_ankle_pitch_joint,head_pitch_joint,left_shoulder_roll_joint,right_shoulder_roll_joint,left_ankle_roll_joint,right_ankle_roll_joint,left_shoulder_yaw_joint,right_shoulder_yaw_joint,left_elbow_joint,right_elbow_joint,left_wrist_roll_joint,right_wrist_roll_joint,left_wrist_pitch_joint,right_wrist_pitch_joint,left_wrist_yaw_joint,right_wrist_yaw_joint
31,0.6200000000,APPROACH_READY,0,-0.1579051364,-0.1579051364,0.0000000000,0.0060000000,-0.0060000000,0.0000000000,-0.0350000000,0.0350000000,0.0000000000,0.2470000000,0.2470000000,0.0000000000,-0.3483033658,-0.0371091859,-0.0930948636,-0.0930948636,0.0000000000,0.0521405081,-0.3721976810,-0.0080000000,0.0080000000,-0.5683322350,0.1654024764,1.0436478125,0.4035231787,-1.4125079281,0.2324315020,0.2056467642,-0.1196644537,-0.2383555527,-0.0735231238
32,0.6400000000,APPROACH_READY,0,-0.1591703582,-0.1591703582,0.0000000000,0.0060000000,-0.0060000000,0.0000000000,-0.0350000000,0.0350000000,0.0000000000,0.2470000000,0.2470000000,0.0000000000,-0.3787900200,-0.0529618434,-0.0918296418,-0.0918296418,0.0000000000,0.0489493958,-0.3840573502,-0.0080000000,0.0080000000,-0.5950582236,0.1731805759,1.0551054217,0.3848787410,-1.4789315241,0.2433616610,0.2153173630,-0.1252917095,-0.2495642918,-0.0769805701
33,0.6600000000,APPROACH_READY,0,-0.1604282765,-0.1604282765,0.0000000000,0.0060000000,-0.0060000000,0.0000000000,-0.0350000000,0.0350000000,0.0000000000,0.2470000000,0.2470000000,0.0000000000,-0.4091006882,-0.0687229904,-0.0905717235,-0.0905717235,0.0000000000,0.0457767043,-0.3958485588,-0.0080000000,0.0080000000,-0.6216299348,0.1809137759,1.0664968912,0.3663419294,-1.5449716857,0.2542287249,0.2249321378,-0.1308864815,-0.2607083278,-0.0804180580
34,0.6800000000,APPROACH_READY,0,-0.1616759698,-0.1616759698,0.0000000000,0.0060000000,-0.0060000000,0.0000000000,-0.0350000000,0.0350000000,0.0000000000,0.2470000000,0.2470000000,0.0000000000,-0.4391649758,-0.0843560228,-0.0893240302,-0.0893240302,0.0000000000,0.0426298021,-0.4075439225,-0.0080000000,0.0080000000,-0.6479856576,0.1885841165,1.0777957650,0.3479557944,-1.6104750394,0.2650074559,0.2344687587,-0.1364357764,-0.2717617795,-0.0838276043
35,0.7000000000,APPROACH_READY,0,-0.1629105167,-0.1629105167,0.0000000000,0.0060000000,-0.0060000000,0.0000000000,-0.0350000000,0.0350000000,0.0000000000,0.2470000000,0.2470000000,0.0000000000,-0.4689124885,-0.0998243365,-0.0880894833,-0.0880894833,0.0000000000,0.0395160576,-0.4191160570,-0.0080000000,0.0080000000,-0.6740636810,0.1961736379,1.0889755873,0.3297633864,-1.6752882114,0.2756726158,0.2439048963,-0.1419266007,-0.2826987655,-0.0872012257
36,0.7200000000,APPROACH_READY,0,-0.1641289957,-0.1641289957,0.0000000000,0.0060000000,-0.0060000000,0.0000000000,-0.0350000000,0.0350000000,0.0000000000,0.2470000000,0.2470000000,0.0000000000,-0.4982728319,-0.1150913272,-0.0868710043,-0.0868710043,0.0000000000,0.0364428389,-0.4305375780,-0.0080000000,0.0080000000,-0.6998022942,0.2036643803,1.1000099021,0.3118077561,-1.7392578280,0.2861989666,0.2532182208,-0.1473459609,-0.2934934046,-0.0905309387
37,0.7400000000,APPROACH_READY,0,-0.1653284854,-0.1653284854,0.0000000000,0.0060000000,-0.0060000000,0.0000000000,-0.0350000000,0.0350000000,0.0000000000,0.2470000000,0.2470000000,0.0000000000,-0.5271756114,-0.1301203907,-0.0856715146,-0.0856715146,0.0000000000,0.0334175146,-0.4417811012,-0.0080000000,0.0080000000,-0.7251397862,0.2110383838,1.1108722535,0.2941319537,-1.8022305155,0.2965612705,0.2623864025,-0.1526808635,-0.3041198156,-0.0938087601
38,0.7600000000,APPROACH_READY,0,-0.1665060644,-0.1665060644,0.0000000000,0.0060000000,-0.0060000000,0.0000000000,-0.0350000000,0.0350000000,0.0000000000,0.2470000000,0.2470000000,0.0000000000,-0.5555504328,-0.1448749230,-0.0844939356,-0.0844939356,0.0000000000,0.0304474530,-0.4528192425,-0.0080000000,0.0080000000,-0.7500144459,0.2182776887,1.1215361858,0.2767790298,-1.8640529003,0.3067342893,0.2713871119,-0.1579183151,-0.3145521171,-0.0970267065
39,0.7800000000,APPROACH_READY,0,-0.1676588113,-0.1676588113,0.0000000000,0.0060000000,-0.0060000000,0.0000000000,-0.0350000000,0.0350000000,0.0000000000,0.2470000000,0.2470000000,0.0000000000,-0.5833269015,-0.1593183198,-0.0833411887,-0.0833411887,0.0000000000,0.0275400224,-0.4636246175,-0.0080000000,0.0080000000,-0.7743645625,0.2253643351,1.1319752428,0.2597920349,-1.9245716085,0.3166927851,0.2801980193,-0.1630453222,-0.3247644281,-0.1001767947
40,0.8000000000,APPROACH_READY,0,-0.1687838046,-0.1687838046,0.0000000000,0.0060000000,-0.0060000000,0.0000000000,-0.0350000000,0.0350000000,0.0000000000,0.2470000000,0.2470000000,0.0000000000,-0.6104346231,-0.1734139769,-0.0822161954,-0.0822161954,0.0000000000,0.0247025911,-0.4741698420,-0.0080000000,0.0080000000,-0.7981284249,0.2322803632,1.1421629689,0.2432140193,-1.9836332665,0.3264115199,0.2887967950,-0.1680488913,-0.3347308671,-0.1032510412
